hours,price
245.0,14.13
246.0,14.14
247.0,16.79
248.0,17.43
249.0,16.1
250.0,17.58
251.0,18.77
252.0,18.05
253.0,17.02
254.0,15.8
255.0,14.13
256.0,13.75
257.0,17.66
258.0,19.16
259.0,16.43
260.0,13.68
261.0,13.94
262.0,14.06
263.0,12.83
264.0,11.68
265.0,12.96
266.0,11.48
267.0,11.2
268.0,11.03
269.0,11.0
270.0,10.75
271.0,11.86
272.0,13.48
273.0,15.85
274.0,15.89
275.0,20.01
276.0,21.48
277.0,20.89
278.0,21.46
279.0,21.34
280.0,20.77
281.0,22.64
282.0,69.78
283.0,24.97
284.0,23.48
285.0,26.58
286.0,20.02
287.0,21.34
288.0,16.07
289.0,14.33
290.0,14.68
291.0,14.64
292.0,14.92
293.0,14.86
294.0,21.63
295.0,41.87
296.0,86.92
297.0,50.22
298.0,52.96
299.0,35.25
300.0,23.94
301.0,25.27
302.0,27.99
303.0,22.94
304.0,21.29
305.0,19.48
306.0,53.17
307.0,29.27
308.0,25.16
309.0,35.9
310.0,22.09
311.0,20.93
312.0,15.66
313.0,17.24
314.0,17.11
315.0,15.48
316.0,16.04
317.0,17.98
318.0,19.06
319.0,18.81
320.0,20.65
321.0,22.48
322.0,25.94
323.0,23.65
324.0,24.02
325.0,21.31
326.0,21.61
327.0,20.57
328.0,20.11
329.0,20.39
330.0,28.17
331.0,27.79
332.0,25.54
333.0,22.75
334.0,21.58
335.0,19.46
336.0,18.26
337.0,18.47
338.0,18.01
339.0,17.14
340.0,17.45
341.0,17.66
342.0,18.52
343.0,26.05
344.0,21.76
345.0,23.19
346.0,21.51
347.0,29.65
348.0,21.54
349.0,19.87
350.0,19.0
351.0,18.8
352.0,18.92
353.0,20.1
354.0,21.56
355.0,24.96
356.0,19.3
357.0,19.05
358.0,18.12
359.0,16.61
360.0,15.16
361.0,14.88
362.0,14.25
363.0,14.35
364.0,13.7
365.0,14.2
366.0,15.04
367.0,18.85
368.0,20.87
369.0,19.71
370.0,18.51
371.0,17.44
372.0,17.39
373.0,17.08
374.0,18.06
375.0,18.89
376.0,17.79
377.0,19.01
378.0,23.0
379.0,22.85
380.0,32.12
381.0,21.99
382.0,22.32
383.0,20.69
384.0,20.24
385.0,18.4
386.0,18.79
387.0,18.4
388.0,18.85
389.0,19.57
390.0,19.34
391.0,20.37
392.0,23.66
393.0,21.45
394.0,20.61
395.0,23.15
396.0,21.74
397.0,21.08
398.0,20.7
399.0,20.62
400.0,20.92
401.0,20.55
402.0,24.29
403.0,23.91
404.0,21.62
405.0,21.48
406.0,20.88
407.0,20.76
408.0,19.96
409.0,39.14
410.0,21.39
411.0,22.03
412.0,19.34
413.0,19.24
414.0,19.17
415.0,24.08
416.0,13.58
417.0,21.61
418.0,25.12
419.0,28.09
420.0,25.98
421.0,25.13
422.0,29.46
423.0,26.66
424.0,23.58
425.0,28.13
426.0,30.82
427.0,27.1
428.0,22.53
429.0,21.47
430.0,20.36
431.0,19.78
432.0,19.55
433.0,16.71
434.0,18.51
435.0,17.39
436.0,16.5
437.0,4.5
438.0,15.64
439.0,15.78
440.0,16.38
441.0,18.65
442.0,18.3
443.0,18.36
444.0,18.53
445.0,18.42
446.0,18.39
447.0,16.94
448.0,17.57
449.0,19.78
450.0,23.99
451.0,24.97
452.0,23.28
453.0,22.91
454.0,21.95
455.0,24.18
456.0,24.22
457.0,20.91
458.0,23.45
459.0,23.68
460.0,22.27
461.0,22.71
462.0,23.86
463.0,25.28
464.0,29.84
465.0,26.43
466.0,27.39
467.0,26.55
468.0,27.64
469.0,25.38
470.0,24.1
471.0,24.21
472.0,24.65
473.0,27.99
474.0,44.07
475.0,28.99
476.0,27.37
477.0,32.95
478.0,26.96
479.0,24.82
480.0,24.41
481.0,24.44
482.0,23.8
483.0,24.14
484.0,23.86
485.0,24.42
486.0,25.26
487.0,31.27
488.0,34.62
489.0,25.19
490.0,24.86
491.0,24.85
492.0,23.72
493.0,22.74
494.0,21.79
495.0,22.09
496.0,22.73
497.0,22.84
498.0,24.08
499.0,24.92
500.0,24.61
501.0,25.27
502.0,23.87
503.0,22.65
504.0,20.82
505.0,26.01
506.0,24.18
507.0,23.53
508.0,23.48
509.0,26.29
510.0,24.28
511.0,35.87
512.0,31.74
513.0,31.73
514.0,21.03
515.0,19.89
516.0,18.87
517.0,16.92
518.0,17.67
519.0,17.13
520.0,17.01
521.0,18.27
522.0,22.52
523.0,20.59
524.0,20.69
525.0,21.15
526.0,18.82
527.0,17.89
528.0,18.15
529.0,18.73
530.0,19.5
531.0,19.38
532.0,20.37
533.0,22.11
534.0,21.85
535.0,46.43
536.0,25.27
537.0,24.31
538.0,23.05
539.0,20.29
540.0,23.58
541.0,20.22
542.0,19.98
543.0,19.88
544.0,21.01
545.0,22.51
546.0,40.71
547.0,24.5
548.0,22.63
549.0,20.19
550.0,19.49
551.0,18.94
552.0,17.6
553.0,17.03
554.0,16.21
555.0,17.15
556.0,17.44
557.0,17.9
558.0,18.81
559.0,23.44
560.0,22.08
561.0,22.01
562.0,20.83
563.0,20.21
564.0,22.12
565.0,19.9
566.0,24.84
567.0,16.89
568.0,17.52
569.0,17.89
570.0,19.43
571.0,16.95
572.0,17.04
573.0,17.07
574.0,16.26
575.0,14.36
576.0,13.41
577.0,14.46
578.0,14.41
579.0,13.91
580.0,13.64
581.0,14.15
582.0,16.33
583.0,18.35
584.0,17.95
585.0,18.2
586.0,19.44
587.0,19.01
588.0,18.5
589.0,18.18
590.0,15.88
591.0,16.02
592.0,14.84
593.0,18.24
594.0,19.69
595.0,18.78
596.0,19.25
597.0,18.05
598.0,16.67
599.0,17.01
600.0,16.57
601.0,16.56
602.0,17.05
603.0,15.84
604.0,15.69
605.0,16.1
606.0,16.58
607.0,18.57
608.0,19.47
609.0,19.58
610.0,18.11
611.0,17.1
612.0,19.28
613.0,18.4
614.0,17.35
615.0,18.87
616.0,18.77
617.0,21.03
618.0,46.35
619.0,22.47
620.0,23.06
621.0,22.69
622.0,19.49
623.0,17.77
624.0,18.53
625.0,17.89
626.0,17.77
627.0,17.46
628.0,16.56
629.0,19.43
630.0,18.7
631.0,22.91
632.0,21.85
633.0,21.41
634.0,24.2
635.0,23.95
636.0,22.06
637.0,22.61
638.0,22.02
639.0,21.52
640.0,21.1
641.0,21.98
642.0,59.98
643.0,45.57
644.0,35.76
645.0,23.94
646.0,21.04
647.0,20.06
648.0,18.33
649.0,16.28
650.0,15.99
651.0,16.37
652.0,16.55
653.0,16.84
654.0,18.43
655.0,43.86
656.0,62.16
657.0,23.79
658.0,22.3
659.0,22.24
660.0,24.47
661.0,22.16
662.0,27.31
663.0,21.39
664.0,21.31
665.0,40.22
666.0,32.64
667.0,73.13
668.0,40.67
669.0,40.85
670.0,26.07
671.0,21.29
672.0,21.27
673.0,21.01
674.0,21.92
675.0,20.21
676.0,21.12
677.0,20.42
678.0,19.53
679.0,21.59
680.0,22.94
681.0,23.87
682.0,23.85
683.0,22.56
684.0,22.57
685.0,23.52
686.0,20.92
687.0,21.39
688.0,21.36
689.0,21.94
690.0,20.26
691.0,28.5
692.0,24.87
693.0,26.06
694.0,24.84
695.0,22.13
696.0,21.91
697.0,20.1
698.0,19.78
699.0,20.93
700.0,21.38
701.0,21.08
702.0,19.95
703.0,25.75
704.0,25.17
705.0,28.9
706.0,34.13
707.0,91.04
708.0,19.9
709.0,20.28
710.0,20.16
711.0,20.4
712.0,21.43
713.0,20.22
714.0,39.27
715.0,21.49
716.0,26.19
717.0,23.66
718.0,21.44
719.0,22.3
720.0,19.84
721.0,19.45
722.0,19.3
723.0,19.19
724.0,19.22
725.0,19.47
726.0,19.59
727.0,71.92
728.0,21.81
729.0,25.19
730.0,22.58
731.0,22.26
732.0,21.49
733.0,22.46
734.0,20.96
735.0,23.16
736.0,20.89
737.0,22.55
738.0,23.67
739.0,21.32
740.0,22.87
741.0,21.85
742.0,21.55
743.0,20.09
744.0,18.27
745.0,17.52
746.0,18.12
747.0,19.7
748.0,19.06
749.0,18.65
750.0,18.11
751.0,21.88
752.0,20.87
753.0,21.67
754.0,22.07
755.0,19.89
756.0,20.15
757.0,17.67
758.0,17.03
759.0,17.21
760.0,18.66
761.0,18.61
762.0,22.91
763.0,17.84
764.0,19.25
765.0,16.94
766.0,15.42
767.0,16.15
768.0,14.58
769.0,13.79
770.0,13.16
771.0,12.09
772.0,12.42
773.0,12.22
774.0,12.36
775.0,12.46
776.0,15.36
777.0,13.06
778.0,13.34
779.0,13.92
780.0,13.73
781.0,13.5
782.0,13.14
783.0,12.7
784.0,12.69
785.0,13.27
786.0,16.54
787.0,16.12
788.0,13.5
789.0,13.9
790.0,14.11
791.0,15.38
792.0,14.08
793.0,13.09
794.0,12.99
795.0,13.27
796.0,13.24
797.0,13.64
798.0,14.99
799.0,20.01
800.0,20.0
801.0,17.37
802.0,17.71
803.0,16.84
804.0,16.04
805.0,15.81
806.0,13.75
807.0,13.95
808.0,14.39
809.0,16.0
810.0,16.96
811.0,18.54
812.0,17.96
813.0,15.71
814.0,13.8
815.0,13.48
816.0,13.8
817.0,14.22
818.0,13.45
819.0,12.56
820.0,11.91
821.0,12.0
822.0,12.55
823.0,14.3
824.0,18.27
825.0,16.42
826.0,17.4
827.0,16.31
828.0,15.83
829.0,15.42
830.0,16.05
831.0,15.27
832.0,15.86
833.0,16.26
834.0,25.17
835.0,18.21
836.0,18.25
837.0,21.55
838.0,16.98
839.0,16.31
840.0,13.82
841.0,14.02
842.0,15.14
843.0,14.2
844.0,13.49
845.0,14.39
846.0,16.4
847.0,22.85
848.0,20.55
849.0,21.45
850.0,20.06
851.0,20.98
852.0,32.86
853.0,21.61
854.0,22.28
855.0,19.31
856.0,19.75
857.0,18.22
858.0,25.22
859.0,22.03
860.0,20.65
861.0,21.38
862.0,21.27
863.0,19.37
864.0,18.33
865.0,23.96
866.0,21.07
867.0,19.08
868.0,18.66
869.0,17.74
870.0,21.06
871.0,39.76
872.0,34.01
873.0,28.35
874.0,24.35
875.0,21.07
876.0,51.41
877.0,22.88
878.0,21.81
879.0,22.37
880.0,22.2
881.0,21.07
882.0,27.19
883.0,29.3
884.0,25.58
885.0,26.9
886.0,20.43
887.0,20.0
888.0,19.78
889.0,18.7
890.0,17.96
891.0,17.73
892.0,16.38
893.0,18.27
894.0,17.94
895.0,19.16
896.0,57.52
897.0,20.93
898.0,21.59
899.0,22.4
900.0,22.74
901.0,21.25
902.0,20.72
903.0,20.3
904.0,20.45
905.0,19.87
906.0,40.4
907.0,22.25
908.0,22.11
909.0,22.98
910.0,22.71
911.0,31.15
912.0,18.57
913.0,19.27
914.0,18.93
915.0,19.02
916.0,18.73
917.0,18.98
918.0,21.6
919.0,21.28
920.0,22.14
921.0,20.52
922.0,19.29
923.0,22.92
924.0,19.17
925.0,17.56
926.0,22.29
927.0,19.29
928.0,19.23
929.0,18.55
930.0,22.24
931.0,22.84
932.0,20.98
933.0,19.99
934.0,19.44
935.0,18.74
936.0,17.32
937.0,16.44
938.0,16.07
939.0,16.11
940.0,15.44
941.0,16.38
942.0,17.05
943.0,20.13
944.0,18.38
945.0,16.4
946.0,14.07
947.0,13.55
948.0,13.57
949.0,13.85
950.0,13.36
951.0,13.35
952.0,13.35
953.0,14.28
954.0,19.98
955.0,21.13
956.0,23.56
957.0,18.98
958.0,15.72
959.0,14.95
960.0,14.08
961.0,14.25
962.0,13.94
963.0,13.41
964.0,13.31
965.0,13.49
966.0,14.6
967.0,17.1
968.0,19.56
969.0,26.24
970.0,20.78
971.0,28.89
972.0,19.81
973.0,19.83
974.0,19.93
975.0,19.91
976.0,28.81
977.0,22.39
978.0,22.88
979.0,28.4
980.0,20.54
981.0,20.49
982.0,20.97
983.0,18.02
984.0,15.61
985.0,15.4
986.0,14.68
987.0,13.95
988.0,13.82
989.0,14.24
990.0,15.35
991.0,19.39
992.0,20.91
993.0,26.79
994.0,23.27
995.0,21.56
996.0,24.57
997.0,19.98
998.0,18.76
999.0,15.74
1000.0,14.83
1001.0,16.48
1002.0,17.41
1003.0,20.31
1004.0,26.21
1005.0,19.61
1006.0,18.1
1007.0,17.08
1008.0,14.0
1009.0,14.12
1010.0,14.62
1011.0,14.8
1012.0,15.36
1013.0,14.25
1014.0,17.56
1015.0,24.93
1016.0,18.99
1017.0,18.9
1018.0,20.08
1019.0,20.38
1020.0,18.17
1021.0,23.09
1022.0,18.07
1023.0,19.61
1024.0,19.17
1025.0,20.47
1026.0,29.28
1027.0,21.2
1028.0,21.67
1029.0,20.27
1030.0,18.72
1031.0,17.01
1032.0,15.77
1033.0,15.68
1034.0,15.0
1035.0,13.96
1036.0,13.74
1037.0,14.09
1038.0,15.29
1039.0,19.64
1040.0,20.47
1041.0,19.33
1042.0,20.91
1043.0,20.25
1044.0,19.51
1045.0,19.14
1046.0,19.34
1047.0,18.03
1048.0,17.99
1049.0,17.72
1050.0,19.94
1051.0,20.67
1052.0,19.93
1053.0,20.49
1054.0,18.99
1055.0,16.8
1056.0,15.77
1057.0,16.1
1058.0,16.16
1059.0,16.71
1060.0,16.37
1061.0,17.57
1062.0,19.43
1063.0,21.78
1064.0,25.83
1065.0,21.88
1066.0,22.46
1067.0,21.97
1068.0,20.65
1069.0,20.0
1070.0,19.83
1071.0,19.47
1072.0,19.44
1073.0,19.93
1074.0,21.98
1075.0,26.33
1076.0,21.85
1077.0,24.12
1078.0,24.2
1079.0,21.7
1080.0,20.43
1081.0,19.38
1082.0,18.39
1083.0,18.59
1084.0,18.94
1085.0,18.97
1086.0,23.92
1087.0,22.37
1088.0,21.25
1089.0,19.87
1090.0,19.32
1091.0,17.09
1092.0,16.35
1093.0,16.02
1094.0,14.78
1095.0,14.52
1096.0,15.6
1097.0,16.95
1098.0,19.15
1099.0,22.07
1100.0,20.49
1101.0,20.03
1102.0,18.87
1103.0,18.31
1104.0,17.46
1105.0,17.15
1106.0,16.13
1107.0,16.4
1108.0,16.1
1109.0,16.52
1110.0,16.6
1111.0,18.63
1112.0,19.14
1113.0,19.57
1114.0,18.24
1115.0,17.33
1116.0,15.95
1117.0,15.52
1118.0,14.59
1119.0,14.21
1120.0,13.89
1121.0,13.93
1122.0,17.07
1123.0,64.0
1124.0,19.21
1125.0,18.3
1126.0,18.73
1127.0,17.45
1128.0,16.9
1129.0,16.66
1130.0,16.12
1131.0,15.99
1132.0,15.53
1133.0,16.25
1134.0,19.11
1135.0,22.97
1136.0,20.88
1137.0,19.64
1138.0,19.46
1139.0,19.11
1140.0,17.21
1141.0,17.74
1142.0,16.32
1143.0,16.22
1144.0,15.96
1145.0,18.0
1146.0,19.79
1147.0,21.21
1148.0,21.06
1149.0,19.61
1150.0,18.88
1151.0,17.19
1152.0,15.19
1153.0,13.76
1154.0,13.08
1155.0,12.79
1156.0,12.84
1157.0,12.93
1158.0,14.03
1159.0,26.44
1160.0,20.14
1161.0,18.96
1162.0,19.99
1163.0,17.78
1164.0,16.9
1165.0,17.13
1166.0,16.21
1167.0,16.36
1168.0,17.74
1169.0,18.67
1170.0,19.34
1171.0,24.62
1172.0,20.47
1173.0,19.07
1174.0,17.78
1175.0,16.26
1176.0,14.46
1177.0,14.0
1178.0,13.82
1179.0,13.79
1180.0,14.0
1181.0,14.36
1182.0,16.64
1183.0,20.13
1184.0,20.38
1185.0,19.79
1186.0,18.84
1187.0,19.06
1188.0,18.11
1189.0,17.54
1190.0,17.44
1191.0,17.28
1192.0,17.14
1193.0,17.09
1194.0,19.19
1195.0,22.33
1196.0,26.46
1197.0,22.49
1198.0,26.43
1199.0,18.96
1200.0,17.55
1201.0,17.36
1202.0,17.99
1203.0,18.35
1204.0,18.21
1205.0,17.71
1206.0,20.83
1207.0,21.53
1208.0,21.77
1209.0,21.36
1210.0,22.77
1211.0,22.73
1212.0,21.45
1213.0,21.69
1214.0,20.48
1215.0,19.85
1216.0,20.25
1217.0,21.64
1218.0,22.56
1219.0,35.84
1220.0,26.51
1221.0,23.65
1222.0,21.22
1223.0,20.28
1224.0,20.24
1225.0,19.87
1226.0,20.19
1227.0,20.3
1228.0,21.11
1229.0,22.34
1230.0,24.14
1231.0,25.32
1232.0,94.41
1233.0,22.48
1234.0,21.62
1235.0,20.94
1236.0,19.17
1237.0,18.71
1238.0,18.69
1239.0,16.58
1240.0,15.74
1241.0,16.84
1242.0,17.62
1243.0,20.48
1244.0,21.1
1245.0,20.74
1246.0,19.98
1247.0,19.01
1248.0,18.71
1249.0,20.75
1250.0,21.62
1251.0,20.72
1252.0,19.66
1253.0,20.31
1254.0,20.29
1255.0,26.41
1256.0,22.01
1257.0,20.33
1258.0,20.41
1259.0,16.14
1260.0,16.58
1261.0,15.47
1262.0,14.95
1263.0,13.5
1264.0,13.09
1265.0,13.75
1266.0,14.41
1267.0,17.84
1268.0,17.5
1269.0,17.4
1270.0,17.31
1271.0,16.37
1272.0,16.72
1273.0,16.36
1274.0,16.75
1275.0,17.42
1276.0,17.55
1277.0,18.46
1278.0,17.82
1279.0,19.73
1280.0,18.43
1281.0,16.94
1282.0,16.32
1283.0,15.72
1284.0,16.56
1285.0,15.5
1286.0,14.44
1287.0,13.79
1288.0,13.61
1289.0,13.94
1290.0,14.96
1291.0,19.79
1292.0,18.59
1293.0,18.8
1294.0,16.78
1295.0,15.91
1296.0,14.83
1297.0,14.23
1298.0,14.01
1299.0,14.1
1300.0,15.91
1301.0,16.46
1302.0,19.21
1303.0,25.54
1304.0,24.73
1305.0,19.82
1306.0,19.75
1307.0,19.29
1308.0,19.9
1309.0,19.57
1310.0,18.46
1311.0,18.56
1312.0,18.91
1313.0,19.16
1314.0,19.77
1315.0,22.35
1316.0,20.96
1317.0,18.66
1318.0,16.88
1319.0,15.56
1320.0,14.85
1321.0,15.41
1322.0,14.92
1323.0,13.83
1324.0,13.91
1325.0,13.74
1326.0,14.66
1327.0,17.87
1328.0,18.01
1329.0,18.43
1330.0,18.74
1331.0,18.7
1332.0,18.41
1333.0,18.13
1334.0,17.7
1335.0,18.15
1336.0,17.87
1337.0,18.41
1338.0,22.0
1339.0,19.53
1340.0,19.86
1341.0,19.53
1342.0,17.53
1343.0,15.98
1344.0,14.31
1345.0,13.56
1346.0,13.41
1347.0,12.97
1348.0,13.16
1349.0,13.53
1350.0,14.8
1351.0,19.27
1352.0,20.24
1353.0,19.86
1354.0,20.1
1355.0,19.6
1356.0,19.34
1357.0,19.47
1358.0,19.0
1359.0,18.9
1360.0,18.8
1361.0,19.81
1362.0,19.9
1363.0,58.23
1364.0,20.45
1365.0,19.86
1366.0,19.16
1367.0,17.94
1368.0,17.46
1369.0,18.83
1370.0,17.08
1371.0,19.38
1372.0,17.95
1373.0,19.2
1374.0,19.97
1375.0,21.51
1376.0,21.52
1377.0,25.97
1378.0,21.81
1379.0,21.59
1380.0,18.45
1381.0,18.39
1382.0,18.23
1383.0,16.77
1384.0,19.19
1385.0,18.1
1386.0,20.28
1387.0,37.27
1388.0,22.0
1389.0,26.2
1390.0,49.11
1391.0,20.06
1392.0,19.24
1393.0,18.66
1394.0,18.3
1395.0,19.18
1396.0,18.67
1397.0,20.9
1398.0,22.13
1399.0,19.72
1400.0,20.44
1401.0,19.47
1402.0,20.69
1403.0,20.19
1404.0,19.46
1405.0,19.35
1406.0,18.49
1407.0,16.47
1408.0,16.51
1409.0,18.28
1410.0,32.15
1411.0,23.22
1412.0,30.21
1413.0,20.78
1414.0,19.05
1415.0,17.87
1416.0,17.47
1417.0,17.88
1418.0,17.94
1419.0,18.31
1420.0,18.18
1421.0,18.52
1422.0,19.54
1423.0,19.8
1424.0,20.36
1425.0,26.6
1426.0,20.77
1427.0,20.61
1428.0,19.23
1429.0,17.46
1430.0,16.39
1431.0,16.81
1432.0,17.09
1433.0,17.67
1434.0,20.88
1435.0,27.34
1436.0,22.22
1437.0,22.15
1438.0,20.38
1439.0,18.99
1440.0,17.47
1441.0,18.32
1442.0,18.05
1443.0,17.44
1444.0,17.32
1445.0,19.29
1446.0,17.42
1447.0,17.77
1448.0,17.02
1449.0,16.57
1450.0,14.97
1451.0,14.62
1452.0,14.06
1453.0,13.79
1454.0,12.68
1455.0,11.89
1456.0,11.82
1457.0,12.08
1458.0,13.65
1459.0,17.53
1460.0,18.03
1461.0,17.93
1462.0,16.2
1463.0,14.57
1464.0,14.81
1465.0,15.79
1466.0,14.51
1467.0,13.96
1468.0,16.02
1469.0,35.21
1470.0,18.4
1471.0,69.54
1472.0,19.46
1473.0,18.35
1474.0,17.93
1475.0,20.52
1476.0,19.69
1477.0,18.88
1478.0,18.78
1479.0,18.5
1480.0,19.68
1481.0,21.04
1482.0,21.06
1483.0,35.49
1484.0,20.22
1485.0,20.59
1486.0,17.94
1487.0,16.53
1488.0,14.92
1489.0,15.04
1490.0,14.87
1491.0,14.1
1492.0,13.9
1493.0,15.35
1494.0,16.72
1495.0,20.67
1496.0,20.7
1497.0,19.17
1498.0,19.9
1499.0,21.27
1500.0,17.1
1501.0,17.06
1502.0,17.56
1503.0,15.42
1504.0,14.85
1505.0,15.66
1506.0,16.7
1507.0,31.09
1508.0,22.25
1509.0,21.65
1510.0,19.94
1511.0,16.98
1512.0,14.77
1513.0,15.19
1514.0,14.45
1515.0,13.73
1516.0,13.19
1517.0,15.63
1518.0,17.85
1519.0,24.76
1520.0,20.44
1521.0,20.09
1522.0,17.75
1523.0,17.53
1524.0,17.48
1525.0,16.91
1526.0,18.3
1527.0,16.47
1528.0,16.32
1529.0,16.95
1530.0,17.88
1531.0,44.42
1532.0,22.92
1533.0,29.7
1534.0,20.61
1535.0,18.75
1536.0,16.7
1537.0,18.77
1538.0,16.58
1539.0,16.72
1540.0,17.13
1541.0,19.32
1542.0,16.58
1543.0,34.69
1544.0,48.99
1545.0,19.75
1546.0,19.05
1547.0,18.6
1548.0,16.03
1549.0,15.87
1550.0,17.0
1551.0,16.19
1552.0,14.88
1553.0,15.92
1554.0,18.25
1555.0,21.16
1556.0,18.75
1557.0,20.37
1558.0,18.22
1559.0,18.01
1560.0,15.77
1561.0,15.08
1562.0,14.19
1563.0,14.63
1564.0,15.12
1565.0,17.02
1566.0,16.93
1567.0,33.02
1568.0,18.77
1569.0,26.96
1570.0,20.96
1571.0,22.85
1572.0,43.22
1573.0,21.1
1574.0,20.84
1575.0,19.04
1576.0,18.94
1577.0,21.08
1578.0,20.78
1579.0,20.42
1580.0,19.89
1581.0,21.3
1582.0,22.86
1583.0,23.0
1584.0,18.54
1585.0,19.79
1586.0,18.85
1587.0,18.57
1588.0,18.93
1589.0,19.68
1590.0,20.21
1591.0,19.24
1592.0,20.57
1593.0,18.92
1594.0,18.2
1595.0,16.46
1596.0,15.71
1597.0,14.68
1598.0,14.21
1599.0,12.22
1600.0,11.22
1601.0,12.36
1602.0,13.31
1603.0,19.67
1604.0,17.76
1605.0,18.03
1606.0,16.84
1607.0,15.35
1608.0,15.6
1609.0,17.12
1610.0,15.72
1611.0,16.12
1612.0,18.16
1613.0,20.32
1614.0,17.34
1615.0,20.14
1616.0,16.35
1617.0,13.31
1618.0,13.6
1619.0,12.82
1620.0,13.41
1621.0,12.98
1622.0,11.05
1623.0,10.19
1624.0,9.88
1625.0,10.44
1626.0,12.16
1627.0,16.72
1628.0,16.93
1629.0,17.6
1630.0,15.85
1631.0,12.63
1632.0,11.22
1633.0,10.81
1634.0,11.01
1635.0,11.04
1636.0,11.96
1637.0,14.07
1638.0,30.02
1639.0,55.71
1640.0,16.94
1641.0,15.82
1642.0,15.09
1643.0,15.83
1644.0,15.49
1645.0,13.81
1646.0,12.51
1647.0,12.69
1648.0,13.45
1649.0,14.32
1650.0,14.54
1651.0,19.33
1652.0,19.92
1653.0,15.31
1654.0,12.47
1655.0,11.41
1656.0,11.48
1657.0,11.81
1658.0,11.09
1659.0,10.91
1660.0,10.8
1661.0,11.9
1662.0,17.62
1663.0,19.61
1664.0,20.57
1665.0,21.07
